id,date,time,dayID,hour,recordInDay,plantPower,plantIrradiance,plantTemperature,weatherCloudCover,weatherDewPoint,weatherHumidity,weatherPressure,weatherTemperature,weatherWindBearing,weatherWindSpeed
64,04-01-12,8:00,4,8,7,322,437,11,0.31,8.86,0.68,1017.71,14,207,3.09
65,04-01-12,9:00,4,9,8,453,596,15,0.31,9.27,0.78,1016.18,11,177,3.46
66,04-01-12,10:00,4,10,9,497,674,16,0.31,9.27,0.88,1016.18,10,183,3.47
67,04-01-12,11:00,4,11,10,490,684,18,0.31,8.18,0.89,1016.18,10,191,3.23
68,04-01-12,12:00,4,12,11,438,622,19,0.31,8.23,0.86,1016.15,10,174,1.85
69,04-01-12,13:00,4,13,12,245,314,18,0.31,7.91,0.89,1016.15,6,198,2.02
70,04-01-12,14:00,4,14,13,59,66,14,0.31,7.99,0.89,1016.15,9,201,1.56
71,04-01-12,15:00,4,15,14,5,20,11,0.31,4.63,0.94,1019.72,0,283,2.88
72,04-01-12,16:00,4,16,15,0,0,10,0.14,3.19,0.91,1023.29,0,301,1.38
73,04-01-12,17:00,4,17,16,0,0,10,0.31,4.61,0.94,1023.29,0,314,1.52
74,04-01-12,18:00,4,18,17,0,0,10,0.31,3.94,0.9,1023.29,0,279,3.21
75,04-01-12,19:00,4,19,18,0,0,10,0,3.39,0.95,1022.46,0,254,3.1
76,04-01-12,20:00,4,20,19,0,0,9,0.14,3.15,0.95,1022.46,0,230,2.82
77,05-01-12,2:00,5,2,1,428,587,17,0.17,4.48,0.87,1018.625,0,267,2.94
78,05-01-12,3:00,5,3,2,368,452,17,0.17,3.62,0.85,1014.79,0,258,1.65
79,05-01-12,4:00,5,4,3,300,439,17,0.17,4.23,0.82,1014.79,0,285,3.17
80,05-01-12,5:00,5,5,4,87,166,15,0.31,5.75,0.85,1014.79,0,264,3.1
81,05-01-12,6:00,5,6,5,6,15,12,0.31,5.66,0.93,1014.56,0,278,3.5
82,05-01-12,7:00,5,7,6,0,0,10,0,6.29,0.95,1014.56,0,306,3.67
83,05-01-12,8:00,5,8,7,0,0,8,0.14,6.72,0.88,1014.56,0,278,3.02
84,05-01-12,9:00,5,9,8,0,0,8,0.26,8.25,0.84,1013.7,-1,279,2.34
85,05-01-12,10:00,5,10,9,0,0,8,0.62,8.66,0.79,1013.7,8,260,3.35
86,05-01-12,11:00,5,11,10,0,0,8,1,8.74,0.74,1013.7,9,205,3.29
87,05-01-12,12:00,5,12,11,0,0,7,0.58,8.69,0.69,1009.47,10,186,4.12
88,05-01-12,13:00,5,13,12,0,0,7,0.39,8.85,0.7,1009.47,10,197,4.83
89,05-01-12,14:00,5,14,13,0,0,7,0.44,8.73,0.69,1009.47,10,201,5.13
90,05-01-12,15:00,5,15,14,0,0,6,0.58,7.64,0.71,1006.59,12,203,3.9
91,05-01-12,16:00,5,16,15,8,59,6,0.44,7.71,0.75,1006.59,10,206,4.18
92,05-01-12,17:00,5,17,16,147,223,9,0.44,7.72,0.76,1006.59,8,214,4.73
93,05-01-12,18:00,5,18,17,324,435,13,0.58,7.13,0.78,1002.48,8,195,4.78
94,05-01-12,19:00,5,19,18,432,604,16,0.44,7.05,0.79,1002.48,8,202,4.48
95,05-01-12,20:00,5,20,19,386,511,17,0.31,6.69,0.77,1002.48,8,211,4.44
96,06-01-12,2:00,6,2,1,0,0,7,0.44,6.99,0.9,995.725,0,176,3.86
97,06-01-12,3:00,6,3,2,0,0,7,0.69,6.99,0.9,988.97,0,270,1.91
98,06-01-12,4:00,6,4,3,0,0,8,0.63,6.71,0.88,988.97,0,293,4
99,06-01-12,5:00,6,5,4,0,0,7,0.62,5.84,0.87,988.97,0,329,9.71
100,06-01-12,6:00,6,6,5,0,6,7,0.86,4.75,0.78,987.57,0,333,11.27
101,06-01-12,7:00,6,7,6,5,16,7,0.79,5.35,0.85,987.57,0,334,12.61
102,06-01-12,8:00,6,8,7,12,25,7,0.67,4.06,0.76,987.57,0,342,11.38
103,06-01-12,9:00,6,9,8,18,31,6,0.91,4.13,0.8,988.84,0,6,11.74
104,06-01-12,10:00,6,10,9,21,41,7,0.67,4.93,0.83,988.84,7,357,11.81
105,06-01-12,11:00,6,11,10,59,93,8,0.67,4.19,0.8,988.84,8,352,11.96
106,06-01-12,12:00,6,12,11,54,94,9,0.91,4.09,0.77,990.73,9,6,11.91
107,06-01-12,13:00,6,13,12,72,113,9,0.51,2.77,0.65,990.73,9,340,11.27
108,06-01-12,14:00,6,14,13,26,48,9,0.31,2.11,0.6,990.73,9,349,11.74
109,06-01-12,15:00,6,15,14,3,14,7,0.74,0.85,0.54,993.42,7,344,12.49
110,06-01-12,16:00,6,16,15,0,0,7,0.58,1.04,0.56,993.42,7,343,12.79
111,06-01-12,17:00,6,17,16,0,0,8,0.58,1.37,0.6,993.42,8,344,12.19
112,06-01-12,18:00,6,18,17,0,0,8,0.74,1.18,0.6,996.1,8,347,12.29
113,06-01-12,19:00,6,19,18,0,0,8,0.58,1.03,0.6,996.1,8,348,11.64
114,06-01-12,20:00,6,20,19,0,0,8,0.51,1.13,0.59,996.1,8,350,12.14
115,07-01-12,2:00,7,2,1,0,0,0,0.51,-0.27,0.55,1012.78,7,338,7.43
116,07-01-12,3:00,7,3,2,0,0,0,0.31,-0.49,0.55,1012.78,7,331,8.18
117,07-01-12,4:00,7,4,3,0,0,0,0.31,-0.68,0.55,1012.78,7,339,7.6
118,07-01-12,5:00,7,5,4,0,0,0,0.51,-0.69,0.55,1013.75,6,345,7.06
119,07-01-12,6:00,7,6,5,0,0,0,0.31,-0.13,0.59,1013.75,6,333,6.16
120,07-01-12,7:00,7,7,6,0,0,0,0.31,0.79,0.68,1013.75,5,311,4.7
121,07-01-12,8:00,7,8,7,0,0,0,0.51,0.98,0.58,1009.545,0,349,10.05
122,07-01-12,9:00,7,9,8,0,0,0,0.69,1.29,0.59,1005.34,0,343,10.93
123,07-01-12,10:00,7,10,9,143,479,6,0.51,1.94,0.62,1005.34,0,348,10.32
124,07-01-12,11:00,7,11,10,176,388,8,0.51,0.61,0.57,1005.34,0,349,10.05
125,07-01-12,12:00,7,12,11,171,318,8,0.62,1.06,0.59,1008.79,0,345,9.13
126,07-01-12,13:00,7,13,12,122,105,8,0.39,0.74,0.57,1008.79,0,347,8.24
127,07-01-12,14:00,7,14,13,79,146,8,0.31,0.2,0.55,1008.79,0,347,8.88
128,07-01-12,15:00,7,15,14,9,41,7,0.39,0.62,0.57,1011.8,0,344,8.95
129,07-01-12,16:00,7,16,15,0,0,7,0.31,0.38,0.55,1011.8,6,347,10.13
130,07-01-12,17:00,7,17,16,0,0,7,0.31,0.16,0.53,1011.8,8,341,12.4
131,07-01-12,18:00,7,18,17,0,0,6,0.31,0.29,0.53,1012.38,8,345,10.88
132,07-01-12,19:00,7,19,18,0,0,6,0.31,0.16,0.53,1012.38,8,341,10.03
133,07-01-12,20:00,7,20,19,0,0,5,0.31,-0.33,0.53,1012.38,8,334,8.82
134,08-01-12,2:00,8,2,1,0,0,4,0.31,1.53,0.78,1012.84,0,300,4.78
135,08-01-12,3:00,8,3,2,0,0,5,0.26,1.42,0.76,1013.3,0,291,4.33
136,08-01-12,4:00,8,4,3,0,0,4,0.68,1.53,0.78,1013.3,0,298,4.73
137,08-01-12,5:00,8,5,4,0,0,4,0.31,0.76,0.69,1013.3,0,274,3.85
138,08-01-12,6:00,8,6,5,5,22,4,0.31,1.21,0.81,1013.24,0,296,2.39
139,08-01-12,7:00,8,7,6,152,214,7,0.31,0.98,0.81,1013.24,0,269,2.64
140,08-01-12,8:00,8,8,7,331,450,11,0.31,0.52,0.65,1013.24,0,296,2.25
141,08-01-12,9:00,8,9,8,461,602,13,0.31,-0.82,0.5,1013.62,0,316,2.76
142,08-01-12,10:00,8,10,9,508,679,13,0.31,-1.39,0.42,1013.62,9,320,5.98
143,08-01-12,11:00,8,11,10,225,429,10,0.31,2.42,0.62,1013.62,10,332,6.51
144,08-01-12,12:00,8,12,11,268,448,10,0.21,3.92,0.68,1013.12,10,329,5.57
145,08-01-12,13:00,8,13,12,321,507,11,0.31,2.83,0.61,1013.12,11,310,6.5
146,08-01-12,14:00,8,14,13,149,286,11,0.31,2.51,0.56,1013.12,11,321,7.09
147,08-01-12,15:00,8,15,14,13,55,9,0.31,3.31,0.62,1013.26,9,328,5.39
148,08-01-12,16:00,8,16,15,0,0,7,0.31,2.81,0.65,1013.26,7,340,4.52
149,08-01-12,17:00,8,17,16,0,0,6,0.31,2.16,0.7,1013.26,6,323,4.44
150,08-01-12,18:00,8,18,17,0,0,5,0.26,2.69,0.75,1013.36,5,299,4.16
151,08-01-12,19:00,8,19,18,0,0,5,0.31,2.8,0.74,1013.36,5,300,5.17
152,08-01-12,20:00,8,20,19,0,0,5,0.31,2.76,0.76,1013.36,5,293,4.21
153,09-01-12,2:00,9,2,1,0,0,5,0.31,1.17,0.77,1014.22,0,309,4.28
154,09-01-12,3:00,9,3,2,0,0,5,0.26,1.42,0.79,1015.08,0,301,4.22
155,09-01-12,4:00,9,4,3,0,0,4,0.31,0.79,0.74,1015.08,0,307,4.8
156,09-01-12,5:00,9,5,4,0,0,5,0.31,1.52,0.78,1015.08,0,306,5.34
157,09-01-12,6:00,9,6,5,0,0,5,0.51,1.39,0.78,1015.68,0,301,5.07
158,09-01-12,7:00,9,7,6,0,7,4,0.31,1.71,0.82,1015.68,0,303,4.51
159,09-01-12,8:00,9,8,7,12,23,4,0.31,2.86,0.84,1015.68,0,311,6.12
160,09-01-12,9:00,9,9,8,20,47,5,0.51,2.96,0.82,1017.32,0,306,4.94
161,09-01-12,10:00,9,10,9,36,103,6,0.31,3.56,0.82,1017.32,6,308,6.19
162,09-01-12,11:00,9,11,10,57,87,6,0.51,3.2,0.66,1017.32,7,333,6.45
163,09-01-12,12:00,9,12,11,241,192,7,0.51,3.97,0.7,1017.02,7,326,6.12
164,09-01-12,13:00,9,13,12,177,205,7,0.51,3.74,0.69,1017.02,6,328,5.88
165,09-01-12,14:00,9,14,13,94,51,6,0.51,2.96,0.69,1017.02,6,342,6.24
166,09-01-12,15:00,9,15,14,9,16,6,0.58,2.54,0.67,1017.93,6,14,5.62
167,09-01-12,16:00,9,16,15,6,12,6,0.51,2.18,0.66,1017.93,8,3,4.37
168,09-01-12,17:00,9,17,16,0,0,4,0.31,2.34,0.7,1017.93,7,343,3.62
169,09-01-12,18:00,9,18,17,0,0,4,0.39,1.68,0.7,1020.11,7,338,3.73
170,09-01-12,19:00,9,19,18,0,0,3,0.31,2.07,0.73,1020.11,5,322,3.82
171,09-01-12,20:00,9,20,19,0,0,5,0.31,2.14,0.72,1020.11,5,348,4.01
172,10-01-12,2:00,10,2,1,0,0,4,0.31,2.44,0.74,1021.43,0,333,4.16
173,10-01-12,3:00,10,3,2,0,0,4,0.68,2.35,0.74,1022.75,0,326,4.68
174,10-01-12,4:00,10,4,3,0,0,4,0.31,2.11,0.76,1022.75,0,337,3.89
175,10-01-12,5:00,10,5,4,0,0,4,0.31,1.98,0.85,1022.75,0,301,4.54
176,10-01-12,6:00,10,6,5,5,35,4,0.31,1.86,0.77,1023.19,0,316,5.41
177,10-01-12,7:00,10,7,6,142,180,6,0.31,1.66,0.79,1023.19,0,306,5.25
178,10-01-12,8:00,10,8,7,190,207,8,0.31,1.13,0.7,1023.19,0,303,5.49
179,10-01-12,9:00,10,9,8,289,271,9,0.31,2.17,0.69,1023.89,0,317,6.48
180,10-01-12,10:00,10,10,9,116,205,9,0.31,2.79,0.68,1023.89,9,322,5.06
181,10-01-12,11:00,10,11,10,65,97,8,0.31,2.97,0.65,1023.89,8,328,7.27
182,10-01-12,12:00,10,12,11,118,195,9,0.31,3.27,0.66,1022.61,9,330,7.14
183,10-01-12,13:00,10,13,12,205,296,10,0.31,2.85,0.64,1022.61,10,330,5.75
184,10-01-12,14:00,10,14,13,125,236,9,0.31,3.77,0.69,1022.61,9,330,6.82
185,10-01-12,15:00,10,15,14,18,65,9,0.31,4.84,0.74,1022.35,9,329,6.8
186,10-01-12,16:00,10,16,15,0,0,7,0.31,3.49,0.7,1022.35,7,327,4.66
187,10-01-12,17:00,10,17,16,0,0,7,0.31,4.65,0.81,1022.35,7,331,3.93
188,10-01-12,18:00,10,18,17,0,0,7,0.31,3.76,0.78,1023.85,7,312,4.6
189,10-01-12,19:00,10,19,18,0,0,6,0.31,3.65,0.79,1023.85,6,309,5.22
190,10-01-12,20:00,10,20,19,0,0,6,0.31,2.47,0.7,1023.85,6,310,5.54
191,11-01-12,2:00,11,2,1,0,0,5,0.31,3.19,0.89,1024.95,0,312,6.4
192,11-01-12,3:00,11,3,2,0,0,4,0.21,3.05,0.84,1026.05,0,310,5.97
193,11-01-12,4:00,11,4,3,0,0,4,0.31,2.92,0.83,1026.05,0,306,6
194,11-01-12,5:00,11,5,4,0,0,5,0.31,2.98,0.86,1026.05,0,305,5.58
195,11-01-12,6:00,11,6,5,3,14,5,0.31,4.14,0.88,1026.5,0,307,6.03
196,11-01-12,7:00,11,7,6,14,18,5,0.31,3.88,0.86,1026.5,0,310,5.58
197,11-01-12,8:00,11,8,7,0,0,0,0.31,2.87,0.74,1026.5,0,335,4.18
198,11-01-12,9:00,11,9,8,0,0,0,0.31,4.58,0.77,1027.15,0,329,6.66
199,11-01-12,10:00,11,10,9,0,0,0,0.31,4.22,0.73,1027.15,9,342,6.04
200,11-01-12,11:00,11,11,10,0,0,0,0.31,4.13,0.71,1027.15,10,336,6.9
201,11-01-12,12:00,11,12,11,0,0,0,0.31,2.1,0.6,1026.41,10,1,6.54
202,11-01-12,13:00,11,13,12,0,0,0,0.31,3.84,0.69,1026.41,10,6,5.36
203,11-01-12,14:00,11,14,13,12,26,6,0.31,2.79,0.66,1026.41,6,338,5.54
204,11-01-12,15:00,11,15,14,0,8,8,0.31,2.57,0.67,1026.63,8,339,7.26
205,11-01-12,16:00,11,16,15,0,0,7,0.31,3.78,0.75,1026.63,7,339,4.62
206,11-01-12,17:00,11,17,16,0,0,6,0.31,2.42,0.67,1026.63,6,339,5.61
207,11-01-12,18:00,11,18,17,0,0,6,0.31,2.04,0.68,1027.34,6,333,5.41
208,11-01-12,19:00,11,19,18,0,0,6,0.31,2.44,0.76,1027.34,6,308,5.36
209,11-01-12,20:00,11,20,19,0,0,6,0.31,2.44,0.76,1027.34,6,311,5.25
210,12-01-12,2:00,12,2,1,0,0,5,0.31,2.37,0.8,1027.8,0,318,4.65
211,12-01-12,3:00,12,3,2,0,0,5,0.12,3.33,0.89,1028.26,0,310,4.28
212,12-01-12,4:00,12,4,3,0,0,4,0.31,2.98,0.86,1028.26,0,313,4.8
213,12-01-12,5:00,12,5,4,0,0,4,0.31,2.39,0.85,1028.26,0,310,4.77
214,12-01-12,6:00,12,6,5,13,50,3,0.12,2.39,0.85,1028.32,0,299,4.08
215,12-01-12,7:00,12,7,6,85,134,6,0.31,3.39,0.86,1028.32,0,293,3.22
216,12-01-12,8:00,12,8,7,198,285,9,0.31,4.92,0.86,1028.32,0,305,4.04
217,12-01-12,9:00,12,9,8,461,654,12,0.31,5.74,0.77,1028.32,0,323,4.79
218,12-01-12,10:00,12,10,9,370,647,12,0.31,5.69,0.73,1028.32,12,320,5.68
219,12-01-12,11:00,12,11,10,310,314,12,0.31,6.81,0.75,1028.32,12,328,5.05
220,12-01-12,12:00,12,12,11,480,674,13,0.31,8.11,0.81,1027.03,13,339,5.66
221,12-01-12,13:00,12,13,12,341,478,13,0.31,8.06,0.79,1027.03,13,331,5.07
222,12-01-12,14:00,12,14,13,158,298,12,0.31,7.2,0.75,1027.03,12,343,3.99
223,12-01-12,15:00,12,15,14,16,68,10,0.12,8.33,0.84,1026.1,10,357,3.24
224,12-01-12,16:00,12,16,15,0,0,6,0.12,7.32,0.9,1026.1,6,353,3.34
225,12-01-12,17:00,12,17,16,0,0,4,0.12,7.52,0.97,1026.1,7,289,1.16
226,12-01-12,18:00,12,18,17,0,0,2,0.12,5.08,0.93,1026.23,7,267,1.56
227,12-01-12,19:00,12,19,18,0,0,1,0,4.24,0.97,1026.23,6,240,1.13
228,12-01-12,20:00,12,20,19,0,0,1,0,3.23,0.94,1026.23,6,221,0.99
229,13-01-12,2:00,13,2,1,0,0,7,0,0.49,0.88,1024.305,0,212,1.65
230,13-01-12,3:00,13,3,2,0,0,7,0.12,0.81,0.87,1022.38,0,222,1.55
231,13-01-12,4:00,13,4,3,0,0,7,0.12,1.04,0.87,1022.38,0,210,2.26
232,13-01-12,5:00,13,5,4,0,0,7,0.12,0.52,0.83,1022.38,0,207,2.38
233,13-01-12,6:00,13,6,5,11,76,7,0,0.56,0.89,1020.77,0,219,1.73
234,13-01-12,7:00,13,7,6,165,246,9,0.17,1.05,0.89,1020.77,0,208,2.17
235,13-01-12,8:00,13,8,7,349,457,12,0.31,2.63,0.81,1020.77,0,234,0.81
236,13-01-12,9:00,13,9,8,454,611,15,0.12,2.36,0.66,1020.35,-1,220,0.34
237,13-01-12,10:00,13,10,9,507,696,15,0.12,4.05,0.64,1020.35,9,4,1.13
238,13-01-12,11:00,13,11,10,502,731,16,0.12,4.93,0.65,1020.35,9,300,2.96
239,13-01-12,12:00,13,12,11,319,340,16,0.26,4.99,0.6,1018.1,10,308,2.98
240,13-01-12,13:00,13,13,12,193,272,15,0.31,4.69,0.57,1018.1,10,287,2.43
241,13-01-12,14:00,13,14,13,152,242,13,0.31,3.91,0.53,1018.1,13,16,1.55
242,13-01-12,15:00,13,15,14,19,68,12,0.26,6.32,0.65,1016.29,12,77,1
243,13-01-12,16:00,13,16,15,0,0,11,0.31,2.33,0.55,1016.29,11,226,1.56
244,13-01-12,17:00,13,17,16,0,0,8,0.31,5.83,0.77,1016.29,8,258,3.49
245,13-01-12,18:00,13,18,17,0,0,8,0.21,5.94,0.79,1016.01,8,251,3.29
246,13-01-12,19:00,13,19,18,0,0,6,0.31,5.08,0.84,1016.01,6,245,3.14
247,13-01-12,20:00,13,20,19,0,0,7,0.31,4.78,0.83,1016.01,7,270,3.17
248,14-01-12,2:00,14,2,1,0,0,7,0.31,3.52,0.76,1017.89,7,315,2.56
249,14-01-12,3:00,14,3,2,0,0,8,0.31,4.6,0.89,1017.89,7,320,2.33
250,14-01-12,4:00,14,4,3,0,0,7,0.31,3.72,0.82,1017.75,8,7,3.29
251,14-01-12,5:00,14,5,4,0,0,6,0.31,2.97,0.76,1017.75,10,8,3.42
252,14-01-12,6:00,14,6,5,3,9,5,0.31,2.07,0.67,1017.75,9,345,3.12
253,14-01-12,7:00,14,7,6,23,39,5,0.31,0.56,0.6,1017.11,7,345,3.28
254,14-01-12,8:00,14,8,7,118,151,7,0.31,0.89,0.7,1017.11,9,354,2.15
255,14-01-12,9:00,14,9,8,223,376,8,0.31,0.62,0.71,1017.11,7,353,1.92
256,14-01-12,10:00,14,10,9,104,146,7,0.31,0.37,0.72,1017.98,7,343,2.11
257,14-01-12,11:00,14,11,10,211,291,7,0.31,0.14,0.82,1017.98,6,317,1.14
258,14-01-12,12:00,14,12,11,159,299,8,0.31,-1.08,0.78,1017.98,6,279,2.24
259,14-01-12,13:00,14,13,12,303,524,10,0.31,4.22,0.79,1016.585,0,278,4.46
260,14-01-12,14:00,14,14,13,147,268,9,0.31,4.46,0.83,1015.19,0,292,4.82
261,14-01-12,15:00,14,15,14,11,30,7,0.31,4.11,0.82,1015.19,0,356,3.84
262,14-01-12,16:00,14,16,15,0,0,3,0.31,3.66,0.79,1015.19,0,18,5.32
263,14-01-12,17:00,14,17,16,0,0,1,0.31,2.44,0.77,1016.7,0,15,5.74
264,14-01-12,18:00,14,18,17,0,0,1,0.31,4.34,0.79,1016.7,0,335,3.16
265,14-01-12,19:00,14,19,18,0,0,1,0.31,4.21,0.89,1016.7,0,344,2.79
266,14-01-12,20:00,14,20,19,0,0,1,0.53,3.39,0.77,1017.89,0,303,3.97
267,15-01-12,2:00,15,2,1,0,0,2,0.31,-0.8,0.82,1017.7,0,285,2.18
268,15-01-12,3:00,15,3,2,0,0,1,0.31,-1.77,0.8,1017.51,0,291,4.22
269,15-01-12,4:00,15,4,3,0,0,0,0.51,-2.23,0.78,1017.51,0,273,2.54
270,15-01-12,5:00,15,5,4,0,0,1,0.51,-2.02,0.8,1017.51,0,274,2.45
271,15-01-12,6:00,15,6,5,2,30,2,0.26,-3.15,0.73,1017.59,0,288,2.01
272,15-01-12,7:00,15,7,6,29,46,3,0.55,-1.99,0.78,1017.59,0,5,1.92
273,15-01-12,8:00,15,8,7,292,305,6,0.51,-1.05,0.71,1017.59,0,312,5.4
274,15-01-12,9:00,15,9,8,187,221,6,0.45,0.77,0.78,1018.99,0,339,2.24
275,15-01-12,10:00,15,10,9,476,635,9,0.31,0.73,0.69,1018.99,9,323,2.44
276,15-01-12,11:00,15,11,10,209,254,7,0.31,0.5,0.63,1018.99,7,345,3.97
277,15-01-12,12:00,15,12,11,316,421,8,0.58,0.73,0.61,1017.35,8,8,4.46
278,15-01-12,13:00,15,13,12,196,227,7,0.31,-1.5,0.51,1017.35,7,355,4.73
279,15-01-12,14:00,15,14,13,192,345,7,0.31,-2.24,0.49,1017.35,7,4,5.28
280,15-01-12,15:00,15,15,14,24,86,5,0.51,-1.49,0.53,1017.7,10,18,4.21
281,15-01-12,16:00,15,16,15,0,0,1,0.31,-1.36,0.6,1017.7,9,359,3.14
282,15-01-12,17:00,15,17,16,0,0,0,0.31,-1.96,0.6,1017.7,8,332,1.73
